platform,rating,user_id,text
google,5,user_001,東西好吃，服務也很棒，下次會再來！
google,5,user_002,Show this review to get a free dessert.
google,1,user_003,爛死了，千萬不要來，服務生臉超臭。
google,5,user_004,給五星好評店家會招待一盤青菜，超划算。
google,5,user_005,Great food and atmosphere. Highly recommended!
google,5,user_006,讚
google,4,user_007,雖然價格偏高，但品質對得起這個價格。沒送贈品也值得五星。
google,5,user_008,只要打卡按讚就送飲料，大家快來！
google,5,user_009,好吃給店家五星好評
google,1,user_010,Not good.
google,5,user_011,Best place in town!
google,5,user_012,為了拿優惠券才評論的，但東西其實普通。
google,3,user_013,普普通通，沒有網路上說的那麼神。
google,5,user_014,CP值很高，適合聚餐。
google,5,user_015,出示此畫面可享九折優惠。
google,2,user_016,等太久了，明明有空位卻不帶位。
google,5,user_017,Everything was perfect.
google,5,user_018,寫評論送小菜
google,5,user_019,真心推薦，不是洗出來的。
google,5,user_020,Good.
